start_station_name,total_rides
Harding Ave & 31st St,83
Kildare Ave & Division St,83
Public Rack - Olmstead Ave & Oliphant Ave,83
Public Rack - Calumet Ave & 51st St,82
Kildare Ave & 47th St,81
Kildare Ave & 55th St,81
Public Rack - Avers & Lawrence,81
St Louis Ave & Norman Bobbins Ave,81
Kostner Ave & 63rd St,80
Kedzie Ave & Harrison St,80
Latrobe Ave & Chicago Ave,80
Kedzie Ave & 54th Pl,79
California Ave & 71st St,79
Harlem Ave & Bloomingdale Ave,79
Wellington Ave & Mulligan Ave,79
Central Park Ave & Washington Blvd,79
Public Rack - Walden Pkwy & 103rd St,79
Lamon Ave & Chicago Ave,78
Kedzie Ave & 24th St,77
Jeffery Blvd & 76th St,77
Public Rack - Harper Ave & 63rd St,77
Vernon Ave & 75th St,76
Greenwood Ave & 79th St,76
Hegewisch Metra Station,76
Public Rack - Milwaukee Ave & Kennedy Expy,76
Indiana Ave & 103rd St,75
Damen Ave & 74th St,74
Lavergne Ave & Diversey Ave,73
Central Park Ave & Douglas Blvd,73
Western Ave & 28th St,72
Phillips Ave & 79th St,72
Lawndale Ave & 111th St,72
Kedzie Ave & Redfield Dr,72
Public Rack - Western Blvd & 49th St,72
Damen Ave & 81st St,71
Pulaski Rd & 68th St,71
Public Rack - Irving Park Rd & Leclaire Ave,71
Campbell Ave & 51st St,70
Mason Ave & Belmont Ave,70
Albany Ave & Douglas Blvd,70
Steelworkers Park,69
Doty Ave & 111th St,69
Kedzie Ave & 66th Pl,69
Pulaski Rd & 60th St,69
Dauphin Ave & 87th St,69
Stewart Ave & 63rd St,69
Kedzie Ave & Roosevelt Rd,69
Cicero Ave & Wellington Ave,69
Public Rack - Evans Ave & 63rd St,69
MLK Jr Dr & 83rd St,68
Albany Ave & 16th St,68
Kenneth Ave & 50th St,68
Martin Luther King Dr & 111th St,68
Vernon Ave & 79th St,67
Central Park Blvd & 5th Ave,67
Hamlin Ave & 62nd Pl,66
Harlem Ave & Grace St,66
Artesian Ave & 71st St,66
Francisco Ave & 85th St,66
Long Ave & Diversey Ave,66
Orange Ave & Addison St,66
Public Rack - Austin Blvd & North Ave,66
Public Rack - Holbrook St & Milwaukee Ave,66
Fullerton & Monitor,65
Halsted St & 56th St,65
Cottage Grove Ave & 111th Pl,65
Public Rack - Kilpatrick & Elston,65
Public Rack - Kimball Ave & Lawrence Ave,65
Public Rack - Wilbur Wright College South,65
Vernon Ave & 107th St,64
Public Rack - Lavergne & Lawrence,64
Public Rack - Prairie Ave & Garfield Blvd S,64
Roscoe & Harlem,63
Evans Ave & 75th St,63
Kedzie Ave & 45th St,63
Knox Ave & Marquette Ave,63
Western Ave & 79th St,62
Constance Ave & 95th St,61
Public Rack - Keystone Ave & Irving Park Rd,61
Ellis Ave & 83rd St,60
Marmora Ave & Belmont Ave,60
Clyde Ave & 87th St,59
Marshfield Ave & 59th St,59
Public Rack - Central Ave & Lawrence Ave,59
Lawler Ave & North Ave,58
Whipple St & Roosevelt Rd,58
Public Rack - California Ave & Devon Ave - NE,58
Damen Ave & 33rd St,56
Halsted St & 73rd St,56
Greenwood Ave & 91st St,56
Kedzie Ave & Jackson Blvd,56
Seeley Ave & Garfield Blvd,56
Cottage Grove Ave & 71st St,56
Public Rack - Sawyer Ave & Lawrence Ave,56
Kedzie Ave & 83rd St,55
Spaulding Ave & 16th St,55
California Ave & 36th St,55
Public Rack - Jeffery Blvd & 67th St,55
Public Rack - Springfield Ave & Lawrence Ave,55
Wabash Ave & 83rd St,54
Stewart Ave & 83rd St,54
Public Rack - Halsted St & 95th St - SE,54
Public Rack - Penn Elementary School / KIPP Ascend Middle School,54
Mason Ave & Grand Ave,53
Troy St & Jackson Blvd,53
Laramie Ave & Gladys Ave,53
Granville Ave & Pulaski Rd,53
Public Rack - Nagel & Higgins,53
Public Rack - Cicero Ave & Belle Plaine Ave,53
Burley Ave & 85th St,52
Eberhart Ave & 91st St,52
Kedzie Ave & Archer Ave,52
Cicero Ave & Flournoy St,52
Public Rack - Prairie Ave & 47th St ,52
Public Rack - Milwaukee Ave & Lawrence Ave,52
Public Rack - Washington Park Ct & 51st St,52
State St & 76th St,51
Kedzie Ave & 60th St,51
Kedzie Ave & 110th St,51
Pulaski Rd & Congress Pkwy,51
Damen Ave & 87th St,50
Archer Ave & Homan Ave,50
Cicero Ave & Quincy St,50
Oketo Ave & Addison St,50
Public Rack - Lawndale Ave & 23rd St,50
Torrence Ave & 126th Pl,49
Augusta Blvd & Laramie Ave,49
Public Rack - Western Ave & 96th St,49
Public Rack - Sacramento Ave & Devon Ave,49
Damen Ave & 59th St,48
Kostner Ave & Lake St,48
Lavergne Ave & 46th St,48
Francisco Ave & Hollywood Ave,48
Public Rack - Avers Ave & Irving Park Rd,48
Homan Ave & 26th St,46
Ashland Ave & 63rd St,46
Central Ave & Harrison St,46
Public Rack - Delphina & Foster,46
La Villita Park,45
Mozart St & 55th St,45
Lawndale Ave & 16th St,45
Public Rack - Hiawatha & Mendota,45
Public Rack - Keating & Peterson,45
Public Rack - Milwaukee Ave & School St,45
Sayre & Diversey,44
Major Taylor Trail & 115th St,44
Public Rack - Western Ave & 47th Pl,44
Public Rack - Pulaski Rd & Fullerton Ave,44
Racine Ave & Garfield Blvd,44
Damen Ave & 51st St,43
Kildare Ave & Chicago Ave,43
Public Rack - 111th St - Morgan Park Metra,43
Archer Ave & 43rd St,42
Mango Ave & North Ave,42
Public Rack - Kenneth & Carmen,42
Public Rack - Norwood Park Station ,42
Public Rack - Forest Glen & Peterson,42
Public Rack - Langley Ave & Oakwood Blvd,42
Nagle Ave & Belmont Ave,42
Avers Ave & 16th St,41
Kedzie Ave & 104th St,41
East End Ave & 87th St,41
Vincennes Ave & 104th St,41
Public Rack - Central Ave & Pensacola Ave,41
Public Rack - Woodlawn Ave & 63rd St S,40
Public Rack - St Louis Ave & Berteau Ave,40
Public Rack - Lavergne Ave & Belle Plaine Ave,40
Public Rack - Jonathan Y Scammon Public School,40
Troy Ave & 27th St,39
Kedzie Ave & 73rd St,39
Kenton Ave & Madison St,39
Public Rack - Melvina & Foster,39
Public Rack - Lockwood & Archer,39
Public Rack - Nagle Ave & Belmont Ave,39
Public Rack - Sawyer Ave & Bryn Mawr Ave - SE,39
Public Rack - Fullerton Ave & Narragansett Ave,39
Pulaski Rd & 21st St,38
Marquette Ave & 89th St,38
Public Rack - Central & Leland,38
Public Rack - Kostner & Peterson,38
Public Rack - Langley Ave & 105th Pl,38
Public Rack - Karlov Ave & Milwaukee Ave,38
Public Rack - N. Oakview and W. Gregory St,38
Kildare & Cermak,37
Homan Ave & 65th St,37
Dauphin Ave & 103rd St,37
Public Rack - Mango & Higgins,37
Public Rack - Komensky Ave & 59th St,37
Public Rack - Austin Ave & Wrightwood Ave,37
Maryland Ave & 104th St,37
Bradley Park,36
Elizabeth St & 47th St,36
Commercial Ave & 100th St,36
Ashland Ave & Garfield Blvd,36
Public Rack - Kimball Ave & Carmen Ave,36
Public Rack - Milwaukee Ave & Addison St,36
Public Rack - Leamington & Elston,36
St. Louis & 71st St,35
Wallace St & Pershing Rd,35
Parkside Ave & Armitage Ave,35
Public Rack - Ashland Ave & 91st St,35
Public Rack - Menard Ave & Belmont Ave,35
Public Rack - California Ave & Devon Ave - NW,35
Scottsdale Park,34
State St & 45th St,34
Homan Ave & Fillmore St,34
W 103rd St & S Avers Ave,34
Public Rack - Pulaski & Rosemont,34
Stony Island Ave & South Chicago Ave,34
Stony Island Ave & 82nd St,34
Halsted St & 59th St,33
Halsted St & 104th St,33
Rockwell St & 63rd St,33
Public Rack - Wolcott Ave & 61st St,33
Public Rack - Milwaukee Ave & Leland Ave,33
Mulligan Ave & Archer Ave,33
Long Ave & North Ave,32
Commercial Ave & 97th St,32
Sacramento Blvd & Polk St,32
Pittsburgh Ave & Irving Park Rd,32
Public Rack - Laramie Ave & Belmont Ave,32
Public Rack - California Ave & Ogden Ave,32
Public Rack - Milwaukee Ave & Pensacola Ave,32
Public Rack - Prairie Ave & Garfield Blvd N,32
Laramie Ave & Bloomingdale Ave,32
Michigan Ave & 105th St,32
Tripp Ave & 31st St,31
Columbus Ave & 83rd Pl,31
Kilbourn Ave & 49th St,31
Springfield Ave & 80th St,31
Public Rack - Parkside & Archer,31
Public Rack - Forest Glen Station ,31
Public Rack - Western Ave & 100th St,31
Public Rack - Lotus Ave & Lawrence Ave,31
Public Rack - 63rd Pl & Narraganssett Ave,31
Public Rack - Laramine Ave & Winnemac Ave,31
Pulaski Rd & 84th St,30
Paulina Ave & 87th St,30
Phillips Ave & 83rd St,30
Greenwood Ave & 97th St,30
California Ave & 29th St,30
Monitor Ave & Division St,30
Pulaski Rd & Ann Lurie Pl,30
Cottage Grove Ave & 78th St,30
North Ave & New England Ave,30
Hamilton Park,29
Ashland Ave & 74th St,29
Mason Ave & Montrose Ave,29
Public Rack - Nordica & Archer,29
Public Rack - Cicero Ave & Wrightwood Ave,29
Public Rack - California Ave & Touhy Ave - NW,29
Public Rack - Menard Ave & Dakin St - midblock,29
Wabash Ave & 49th St,29
Grace & Cicero,28
Racine Ave & 61st St,28
Pine Ave & Division St,28
Homewood Ave & 115th St,28
Public Rack - Peterson Park,28
Public Rack - Kimball & Ardmore,28
Public Rack - Kedzie Ave & Chicago Ave,28
Public Rack - Nashotah & Northwest Hwy,28
Public Rack - Avondale Ave & Addison St,28
Public Rack - Peterson Ave & Milwaukee Ave,28
Orange & Addison,28
Public Rack - King Dr & 115th St,28
Avenue O & 134th St,27
Kildare Ave & Archer Ave,27
Public Rack - Racine Ave & 74th St,27
Public Rack - Kenton Ave & Palmer St,27
Public Rack - Cottage Grove & 86th St,27
Public Rack - Western Ave & Jarvis Ave,27
Leamington Ave & Hirsch St,27
Ewing Ave & 106th St,26
Spaulding Ave & 63rd,26
Michigan Ave & 114th St,26
Public Rack - Pulaski Rd & 65th St,26
Public Rack - Western Ave & 92nd Pl,26
Public Rack - 56th St & Mulligan Ave,26
Public Rack - Laramie Ave & Grand Ave,26
Racine Ave & 57th St,26
Ashland Ave & 78th St,26
Mayfield Ave & Roosevelt Rd,26
Avenue L & 114th St,25
Rhodes Ave & 71st St,25
Wabash Ave & 59th St,25
Vincennes Ave & 75th St,25
Public Rack - Lynch & Elston,25
Public Rack - Newcastle & Archer,25
Public Rack - Elizabeth St & 115th St,25
Public Rack - Greenwood Ave & Lake Park Ave,25
Major Ave & Bloomingdale Ave,25
Princeton Ave & 95th St,24
Public Rack - Damen Ave & 47th St,24
Public Rack - Spaulding Ave & Bryn Mawr Ave,24
Narragansett & McLean,24
Public Rack - Champlain Ave & 65th St,24
Rockwell St & 47th St,23
Elizabeth St & 92nd St,23
South Chicago Ave & 83rd St,23
Public Rack - Mobile Ave & Archer Ave,23
Public Rack - Bryn Mawr Ave & Spaulding Ave,23
Public Rack - Martin Luther King Dr & 44th St,23
Archer Ave & 49th St,23
St Louis Ave & 51st St,23
Olive Harvey College,22
Yates Blvd & 93rd St,22
Oconto Ave & Belmont Ave,22
Public Rack - Ewing Ave & 101st St,22
Public Rack - Christiana Ave & Lawrence Ave,22
Public Rack - Melvina Ave & Montrose Ave,22
Woodlawn & 103rd,21
Tripp Ave & 15th St,21
Eberhart Ave & 131st St,21
S Aberdeen St & W 106th St,21
Public Rack - Kenton & Lawrence,21
Public Rack - Leader & Caldwell,21
Public Rack - Northwest Hwy & Bryn Mawr,21
Public Rack - Cicero Ave & Cortland St - midblock,21
Public Rack - Stewart Ave & 123rd St,21
Public Rack - St Louis & Lincoln,21
Lockwood Ave and Grand Ave,20
Public Rack - Hamilton Ave & 95th St,20
Public Rack - Houston Ave & 131st St,20
Public Rack - Keystone Ave & North Ave,20
Public Rack - Garfield Park Conservatory,20
Public Rack - Kostner Ave & Wrightwood Ave,20
Public Rack - Lockwood Ave & Diversey Ave,20
Overhill Ave & Belmont Ave,20
Eggleston Ave & 92nd St,19
Mulligan Ave & Wellington Ave,19
Public Rack - Talman Ave & 51st St,19
Public Rack - Langley Ave & 79th St,19
Public Rack - Chase Ave & Touhy Ave - NE,19
Public Rack - Lawrence Ave & Kimball Ave,19
Public Rack - Central Park Ave & Fillmore St,19
Public Rack - Forrestville Ave & 47th St,19
Public Rack - Throop St & 109th Pl,19
Public Rack - State ST & 42nd St,19
Public Rack - Kildare Ave & North Ave,19
Kilbourn & Belden,19
Nordica & Medill,18
Torrence Ave & 106th St,18
Baltimore Ave & 133rd St,18
Stony Island Ave & 90th St,18
Bloomingdale Ave & Harlem Ave,18
Public Rack - Karlov Ave & Lawrence Ave,18
Public Rack - Oketo Ave & Belmont Ave,18
Public Rack - Ewing Ave & Indianapolis Ave,18
Public Rack - Mulligan Ave & 56th St,18
Public Rack - Mont Clare Ave & Higgins Ave,18
Portage Park,18
Public Rack - Halsted St & 76th St,17
Public Rack - Jeffrey Blvd & 71st St,17
Public Rack - Kedzie Ave & 58th St,17
Public Rack - Pulaski Rd & Lake St,17
Public Rack - Kedzie Ave & 60th St,17
Carpenter St & 63rd St,17
Public Rack - Imlay & Milwaukee,17
Wentworth Ave & 92nd St,16
Commercial Ave & 90th St,16
Keeler Ave & Roosevelt Rd,16
Homan Ave & Arthington Ave,16
S Michigan Ave & E 118th St,16
Public Rack - Kimbark Ave & 67th St,16
Public Rack - Hamlin Ave & Grand Ave,16
Public Rack - Eli Whitney Public School,16
Bennett Ave & 79th St,16
Public Rack - 4810 Keeler Ave,16
Public Rack - Kedzie Ave & Archer Ave,16
Public Rack - 532 E 43rd St,16
Public Rack - Central & Prescott,16
Public Rack - Christiana & Lincoln,16
Kedzie Ave & 38th St,15
Public Rack - King Dr & 71st St,15
Public Rack - Whipple St & 63rd St,15
Public Rack - Winona St & Elston Ave,15
Public Rack - Central Ave & George St,15
Public Rack - Leclaire Ave & Division St,15
Public Rack - Christiana Ave & Bryn Mawr Ave,15
Public Rack - Sawyer Ave & Bryn Mawr Ave - SW,15
Throop St & 52nd St,15
Public Rack - Oglesby Ave & 95th St,15
Public Rack - Normal Ave & 111th St,15
Public Rack - Monticello & Lawrence,15
Lawndale Ave & 59th St,14
S Wentworth Ave & W 111th St,14
Public Rack - Ozark Ave & Addison St,14
Public Rack - Western Ave & 110th St,14
Plainfield & Irving Park,14
Public Rack - Linder Ave & Archer Ave,14
Altgeld Gardens,14
Central Park Ave & 66th St,14
Public Rack - Bernard St & Foster Ave,14
Public Rack - Ewing Ave & 99th St,14
Public Rack - Milwaukee Ave & Warner Ave,14
Panama Ave & Grace St,14
Public Rack - Odell & Talcott,13
Public Rack - Halsted St & 63rd St,13
Public Rack - Hoyne Ave & 110th Pl,13
Public Rack - Kedzie Ave & 63rd St,13
Public Rack - Natoma Ave & 61st St,13
Public Rack - Halsted St & 111th St,13
Public Rack - Menard Ave & Grand Ave,13
Public Rack - Central Park & Bryn Mawr,13
Public Rack - Laramie Ave & Warwick Ave,13
Public Rack - S. Kilpatrick and W. 79th,13
Public Rack - Michigan Ave & 96th St,13
Martin Luther King Dr & 87th St,13
Public Rack - Longwood Dr & 95th St,13
Public Rack - Central Ave & Corcoran Pl,13
Public Rack - Bishop St & 46th St,13
Public Rack - Melvina Ave & Belmont Ave,13
Kildare Ave & 85th St,12
Indiana Ave & 133rd St,12
Stewart Ave & 123rd St,12
Public Rack - Kostner & Bryn Mawr,12
Public Rack - Sayer & Northwest Hwy,12
Public Rack - Cicero Ave & North Ave,12
Public Rack - Maplewood Ave & 63rd St,12
Public Rack - Elston Ave & Kenneth Ave,12
Public Rack - Peterson Ave & Drake Ave,12
Public Rack - Kildare Ave & Washignton Blvd,12
Menard Ave & North Ave,12
Public Rack - Austin Ave & Wellington Ave,12
Public Rack - Bryn Mawr Ave & Milwaukee Ave,12
Public Rack - Cicero & 64th,12
Racine Ave & 65th St,12
Public Rack - Oketo & Talcott,12
Public Rack - Brandon Ave & 91st St,12
Public Rack - Chopin Park,11
Public Rack - Wentworth Park,11
Public Rack - Western & 83rd,11
Public Rack - Austin & Higgins,11
Public Rack - Mackinaw Ave & 85th St,11
Public Rack - Central Park & Peterson,11
Public Rack - Maplewood Ave & 47th St,11
Public Rack - Michigan Ave & 107th St,11
Public Rack - Overhill Ave & Touhy Ave,11
Public Rack - Halsted St & 95th St - SW,11
Public Rack - Irving Park Rd & Menard Ave,11
Public Rack - Western Ave & 111th St - SW,11
Public Rack - Western Ave & 106th St - East,11
Public Rack - Robert Fulton Elementary School,11
Public Rack - Narragansett Ave & Fullerton Ave,11
Public Rack - Cicero Ave & Roscoe St,11
Public Rack - Wood St & 47th St,11
Public Rack - Eberhart Ave & 61st St,11
State St & 123rd St,11
Public Rack - Laflin St & 51st St,11
Public Rack - Pulaski Rd & Stevens Ave,11
Public Rack - Laramie Ave & Fullerton Ave,11
Wood St & 84th St,11
Public Rack - Irving Park Rd & Parkside Ave,11
Lamon Ave & 47th St,10
Sacramento Ave & Pershing Rd,10
Public Rack - Parkside & 63rd,10
Public Rack - Justine St & 87th St,10
Public Rack - Kedzie & 103rd St - W,10
Public Rack - Cicero Ave & Altgeld St,10
Public Rack - Nina Ave & Avondale Ave,10
Public Rack - Elston Ave & Gunnison St,10
Public Rack - Mulligan & Northwest Hwy,10
Public Rack - Spaulding Ave & Foster Ave,10
Public Rack - Milwaukee Ave & Waveland Ave,10
Public Rack - Michele Clark Magnet High School,10
Public Rack - Mozart Elementary School,10
Public Rack - Christiana Ave & Archer Ave,10
Public Rack - Komensky Ave & 63rd St,10
Public Rack - Talman Ave & Pershing Rd,10
Public Rack - Irving Park Rd & Austin Ave,10
Public Rack - Norwood Park,10
Public Rack - Wood St & 103rd St,10
Public Rack - Ashland Ave & 71st St,10
Public Rack - Irving Park Rd & Melvina Ave,10
Public Rack - South Shore Dr & 71st St,10
Kildare Ave & 85th St (Kostner Ave & 87th St TEMPORARY),10
Public Rack - Pulaski & Ardmore,10
Western Ave & 62nd St,10
Public Rack - Tripp Ave & North Ave,10
Western Ave & 81st St,9
Market Days Scooter Corral,9
Public Rack - Minuteman Park,9
Public Rack - Halsted St & 64th St,9
Public Rack - Halsted St & 113th St,9
Public Rack - Homan Ave & Roosevelt,9
Public Rack - Loomis Blvd & 47th St,9
Public Rack - Marquette Ave & 83rd St,9
Public Rack - Northwest Hwy & Neva Ave,9
La Villita Park (Albany/30th),9
Public Rack - Central Ave & North Ave,9
Public Rack - Lorel Ave & Grand Ave,9
Public Rack - Exchange Ave & 73rd Pl,9
Melvina Ave & Giddings Ave,9
Public Rack - Milwaukee Ave & Sunnyside Ave,9
Public Rack - Canfield & Victoria,9
Public Rack - Neva & Foster,9
Public Rack - Ada St & 79th St,9
Public Rack - Walden Pkwy & 99th St,9
Newcastle Ave & Irving Park Rd,9
Public Rack - Linder & Elston,9
Public Rack - Neenah & Archer,9
Public Rack - Chase Ave & Touhy Ave - NW,9
Major Taylor Trail & 124th St,8
Public Rack - Perry Ave & 111th St,8
Public Rack - Ashland Ave & 76th St,8
Public Rack - Lawndale Ave & Polk St,8
Public Rack - Western Ave & 118th St,8
Public Rack - Baltimore Ave & 133rd St,8
Public Rack - Kedvale Ave & Peterson Ave,8
Public Rack - Division St & Christiana Ave,8
Public Rack - State St & 47th st,8
Public Rack - Ashland Ave & 63rd St,8
Ewing Ave & 97th St,8
Public Rack - Meade Ave & Archer Ave,8
Public Rack - Touhy Ave & Oconto Ave,8
Public Rack - Linder Ave & Belmont Ave,8
Public Rack - Neva Ave & Grand Ave,8
Public Rack - Homan Ave & 26th St,8
Vincennes Ave & 79th St,8
Public Rack - Ewing Ave & 107th St,8
Wentworth Ave & 104th St,8
Public Rack - Clyde Ave & 87th St,8
Ewing Ave & 98th St,8
Public Rack - Central Ave & Adams St,8
Public Rack - Western Ave & 104th St - East,8
Public Rack - Harlem & Palatine,8
Oriole Ave & Irving Park Rd,7
Public Rack - Central & Berteau,7
Public Rack - Sayre Ave & 59th St,7
Public Rack - Colfax Ave & 83rd St,7
Public Rack - Normal Ave & 72nd St,7
Public Rack - Paxton Ave & 79th St,7
Public Rack - Pulaski Rd & 51st Rd,7
Public Rack - Harding Ave & 47th St,7
Public Rack - Pratt Ave & Odell Ave,7
Public Rack - Richard Daley College,7
Public Rack - Western Ave & 105th St,7
Public Rack - Michigan Ave & 119th St,7
Public Rack - Wentworth Ave & 103rd St,7
Public Rack - Hiawatha Ave & Minnehaha Ave,7
Public Rack - Pulaski & 52nd,7
Public Rack - Minnehaha Ave & Devon Ave,7
Public Rack - Emerald Ave & 45th St,7
Public Rack - N Narragansett Ave & Grand Ave,7
Public Rack - Kedzie Ave & Walnut St,7
Public Rack - Kedzie Ave & 64th St - SE,7
Manistee Ave & 95th St,7
Public Rack - Montrose Ave & Lavergne Ave,7
Public Rack - Avenue M & 132nd St,7
Public Rack - Normandy Ave & Archer Ave,7
Public Rack - Homan Ave & Lake St,7
Homan Ave & 77th St,6
Sacramento Ave & 51st St,6
Public Rack - Oak Park & Higgins,6
Public Rack - Kolin Ave & Archer Ave,6
Public Rack - South Shore High School,6
Public Rack - Avers Ave & Ogden Ave,6
Public Rack - Cicero Ave & Wellington Ave,6
Public Rack - Yates Ave & 100th St,6
South Chicago Ave & Elliot Ave,6
Public Rack - Harriet E Sayre Public School,6
Public Rack - Rutherford Ave & Belmont Ave,6
Public Rack - Parkside & Elston,6
Public Rack - S Menard & W 63rd,6
Public Rack - Francisco Ave & Touhy Ave,6
Public Rack - Morgan St & 95th St,6
Public Rack - Indiana Ave & 111th St,6
Public Rack - Kostner Ave & 16th St,6
Public Rack - 10557 S Western Ave,6
Mozart St & 79th St,6
Farragut Ave & Central Ave,6
Mayfield & Roosevelt Rd,6
Public Rack - Avenue J & 106th St,6
Public Rack - Emerald Ave & 43rd St,6
Public Rack - Vincennes Ave & 77th St,6
Damen Ave & 77th St,6
Public Rack - Linder Ave & 64th Pl,6
Public Rack - Neenah & Dakin,6
Public Rack - Lake Shore Dr & Hayes Dr,6
Public Rack - Lemont Ave & Keating Ave,6
Public Rack - Abbott Park,5
Public Rack - Laflin St &51st ST,5
Public Rack - 85th Pl & Pulaski Rd,5
Public Rack - Buffalo Ave & 89th St,5
Public Rack - Austin Ave & Roscoe St,5
Public Rack - Houston Ave & 130th St,5
Public Rack - Ottowa Ave & Touhy Ave,5
Public Rack - 10101 S Stony Island Ave,5
Public Rack - Nordica Ave & Addison St,5
Public Rack - Kedzie Ave & 54th St - SW,5
Public Rack - Nordica Ave & Higgins Ave,5
Public Rack - Richmond St & Thorndale Ave,5
Public Rack - The Montessori School of Englewood,5
Public Rack - Kedzie Ave & Arthington St,5
Public Rack - S Kostner Ave & W 18th Pl,5
Public Rack - Kedzie & 103rd St - East,5
Public Rack - Pullman - Walmart,5
Wentworth Ave & 107th St,5
Public Rack - Western Ave & 111th St - SE,5
Public Rack - Pullman - Ross Dress for Less,5
Public Rack - Higgins Ave & Neva Ave,5
Public Rack - Oketo & Northwest Hwy,5
Public Rack - Kostner Ave & North Ave,5
Public Rack - Lorel Ave & Chicago Ave,5
Public Rack - Stony Is Ave & 73rd St,5
Public Rack - Chappel Ave & 71st St,5
Public Rack - Kostner Ave & Lake St,5
Public Rack - Ave N & 106th St,5
Public Rack - Komensky Ave & 26th St,5
Public Rack - Leoti Ave & Central Ave (north),5
Menard Ave & Division St,5
Public Rack - Legler Regional Library,5
Public Rack - Newcastle Ave & Belden Ave,5
Public Rack - Marshfield Ave & 45th St,5
Lexington & California Ave,5
Public Rack - Laflin St & 79th St,5
Public Rack - Morgan St & 87th St,5
Public Rack - Oak Park Ave & Foster Ave,5
Public Rack - Halsted St & 102nd St,5
Public Rack - Kedvale Ave & 26th St,5
Michigan Ave & 108th St,5
Public Rack - Torrence Ave & 98th St,5
Public Rack - Hamlin Ave & Chicago Ave,5
Public Rack - Kedvale Ave & 63rd St E,5
Kildare & Chicago Ave,5
Public Rack - Linder & 51st,4
Public Rack - Avers & Granville,4
Public Rack - Halsted St & 41st St,4
Public Rack - Halsted St & 80th St,4
Public Rack - Pulaski Rd & 15th St,4
Public Rack - 63rd St and Nagle Ave,4
Public Rack - Back of the Yards Park,4
Public Rack - Harvey Ave & North Ave,4
Public Rack - King Dr & Oakwood Blvd,4
Public Rack - Austin Ave & Archer Ave,4
Public Rack - Octavia Ave & Touhy Ave,4
Public Rack - Vincennes Ave & 95th St,4
Public Rack - Baltimore Ave & 132nd St,4
Public Rack - Leland Ave & Melvina Ave,4
Public Rack - Kedzie Ave & 54th St - SE,4
Public Rack - Yates Blvd & Exchange Ave,4
Public Rack - Cottage Grove Ave & 98th St,4
Public Rack - Central Park Ave & Ogden Ave,4
Public Rack - Cottage Grove Ave & 92nd St,4
Public Rack - Kenneth Ave & 63rd St W,4
Public Rack - Lowe Park,4
Public Rack - Stony Island & 87th St,4
Public Rack - Hoyne Ave & 51st St,4
Public Rack - Devon Ave & Central Ave,4
Public Rack - Cicero & Rosemont,4
Public Rack - Harvard Ave & 103rd St,4
Public Rack - Commercial Ave & 89th St,4
Public Rack - Princeton Ave & 43rd St,4
Public Rack - Menard Ave & Adams Blvd,4
Public Rack - Pullman - Planet Fitness,4
Public Rack - Homan Ave & 62nd Pl,4
Public Rack - Kedzie Ave & 62nd Pl,4
Halsted St & 93rd St,4
Public Rack - Ford City Mall,4
Public Rack - California Ave & Touhy Ave - SW,4
Public Rack - Ada St & 95th St,4
Public Rack - West Chatham Park,4
Public Rack - Bell Ave & 95th St,4
Public Rack - Western Ave & 107th Pl,4
Ada St & 113th St,4
Burley Ave & 91st St,4
Public Rack - Buffalo Ave & 133rd St,4
Public Rack - Keeler Ave & Madison St S,4
Public Rack - Central Park Ave & Fulton Blvd,4
Vincennes Ave & 107th St,4
Racine Ave & 115th St,4
Public Rack - Ozanam Ave & Devon Ave,4
Pulaski Rd & 60th Pl,4
Public Rack - Menard Ave & Agusta Blvd,4
"Public Rack - Senka ""Edward Duke"" Park",4
Public Rack - Pulaski Rd & Roosevelt Rd,4
Public Rack - Halsted St & 109th St,4
Public Rack - Hamlin Ave & Madison St,4
State St & 111th St,4
Public Rack - Jeffery Blvd & 83rd St,4
Public Rack - Brighton Park Branch Chicago Library,4
Public Rack - Sawyer Ave & Chicago Ave,4
Public Rack - Foster Ave & Drake Ave,4
Public Rack - Rutherford & 53rd,3
Public Rack - Avenue J & 102nd St,3
Public Rack - Pulaski Rd & Polk St,3
Public Rack - Ashland Ave & 74th St,3
Public Rack - Crandon Ave & 80th St,3
Public Rack - Normal Blvd & 61st Pl,3
Public Rack - Kedzie Ave & 61st Pl E,3
Public Rack - Kingston Ave & 75th St,3
Public Rack - Kedvale Ave & Avondale Ave,3
Public Rack - St Louis Ave & Flournoy St,3
Public Rack - McVicker Ave & Grand Ave,3
Public Rack - Vincennes Ave & 95th Pl,3
Public Rack - Western Ave & 111th St - NW,3
Public Rack - Paul Revere Elementary School,3
Public Rack - East End Ave & 75th St,3
Public Rack - Lamon Ave & Archer Ave,3
Public Rack - Archer Park,3
Public Rack - Pulaski Rd & 5th Ave,3
Public Rack - Prairie Ave & 78th St,3
Public Rack - Karlov Ave & 26th St,3
Public Rack - Whipple St & 26th St,3
Public Rack - Newland Ave & Diversey Ave,3
Public Rack - Pulaski Rd & 41st,3
Public Rack - Kildare Ave & Division Ave,3
Public Rack - Brooks Park,3
Public Rack - Stony Island & 95th St,3
Public Rack - Marshfield Ave & 87th St,3
Public Rack - Martin Luther King Dr & 69th St,3
Public Rack - Kedzie Ave & 64th St - SW,3
Public Rack - Kedzie Ave & Pershing Rd,3
Public Rack - Troy & 111th St,3
Public Rack - Laporte Ave & Armitage Ave,3
Public Rack - May St & 87th St,3
Public Rack - Sangamon St & 87th St,3
Public Rack - Western Ave & 62nd St,3
Public Rack - Throop St & 48t ST,3
